file,variant,primary_label,primary_conf,top1,p1,top2,p2,top3,p3
addison1-001002_0165_1-2.wav,orig,winds_brass,1.000000,winds_brass,1.000000,voice,0.000000,piano,0.000000
addison1-001002_0165_1-2.wav,down2,piano,0.630906,piano,0.630906,synth,0.369092,guitar,0.000002
addison1-001002_0165_1-2.wav,up2,guitar,1.000000,guitar,1.000000,strings,0.000000,voice,0.000000
addison2-001002_0165_1-2.wav,orig,winds_brass,1.000000,winds_brass,1.000000,voice,0.000000,guitar,0.000000
addison2-001002_0165_1-2.wav,down2,piano,0.906204,piano,0.906204,synth,0.093751,guitar,0.000045
addison2-001002_0165_1-2.wav,up2,guitar,0.999984,guitar,0.999984,voice,0.000016,strings,0.000000
ambienceHoneyBee-001004_0206_1-2.wav,orig,winds_brass,0.980326,winds_brass,0.980326,piano,0.019673,strings,0.000000
ambienceHoneyBee-001004_0206_1-2.wav,down2,synth,0.572552,synth,0.572552,guitar,0.392630,piano,0.034818
ambienceHoneyBee-001004_0206_1-2.wav,up2,guitar,0.999997,guitar,0.999997,strings,0.000003,cymbals,0.000000
ambulance1-001010_0293_1-2.wav,orig,winds_brass,1.000000,winds_brass,1.000000,piano,0.000000,synth,0.000000
ambulance1-001010_0293_1-2.wav,down2,piano,0.999999,piano,0.999999,synth,0.000001,bass,0.000000
ambulance1-001010_0293_1-2.wav,up2,strings,1.000000,strings,1.000000,cymbals,0.000000,voice,0.000000
banjoBroken1-001008_0288_1-2.wav,orig,winds_brass,0.999564,winds_brass,0.999564,piano,0.000436,synth,0.000000
banjoBroken1-001008_0288_1-2.wav,down2,synth,1.000000,synth,1.000000,piano,0.000000,bass,0.000000
banjoBroken1-001008_0288_1-2.wav,up2,winds_brass,0.985489,winds_brass,0.985489,piano,0.011475,strings,0.003028
banjoBroken10Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,strings,0.000000,winds_brass,0.000000
banjoBroken10Loop-001008_0288_1-2.wav,down2,synth,0.999904,synth,0.999904,piano,0.000096,guitar,0.000000
banjoBroken10Loop-001008_0288_1-2.wav,up2,strings,1.000000,strings,1.000000,cymbals,0.000000,winds_brass,0.000000
banjoBroken11Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,synth,0.000000,strings,0.000000
banjoBroken11Loop-001008_0288_1-2.wav,down2,synth,0.999090,synth,0.999090,piano,0.000910,guitar,0.000000
banjoBroken11Loop-001008_0288_1-2.wav,up2,strings,0.742036,strings,0.742036,cymbals,0.257964,piano,0.000000
banjoBroken12Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,synth,0.000000,winds_brass,0.000000
banjoBroken12Loop-001008_0288_1-2.wav,down2,synth,0.999704,synth,0.999704,piano,0.000296,toms,0.000000
banjoBroken12Loop-001008_0288_1-2.wav,up2,cymbals,1.000000,cymbals,1.000000,strings,0.000000,toms,0.000000
banjoBroken13Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,synth,0.000000,winds_brass,0.000000
banjoBroken13Loop-001008_0288_1-2.wav,down2,synth,0.999522,synth,0.999522,piano,0.000478,guitar,0.000000
banjoBroken13Loop-001008_0288_1-2.wav,up2,cymbals,0.999952,cymbals,0.999952,strings,0.000048,toms,0.000000
banjoBroken14Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,synth,0.000000,strings,0.000000
banjoBroken14Loop-001008_0288_1-2.wav,down2,synth,0.998972,synth,0.998972,piano,0.001028,guitar,0.000000
banjoBroken14Loop-001008_0288_1-2.wav,up2,strings,0.999988,strings,0.999988,cymbals,0.000012,synth,0.000000
banjoBroken15Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,synth,0.000000,strings,0.000000
banjoBroken15Loop-001008_0288_1-2.wav,down2,synth,0.990827,synth,0.990827,piano,0.009173,guitar,0.000000
banjoBroken15Loop-001008_0288_1-2.wav,up2,cymbals,0.999850,cymbals,0.999850,strings,0.000150,toms,0.000000
banjoBroken16-001008_0288_1-2.wav,orig,piano,0.997422,piano,0.997422,winds_brass,0.002578,strings,0.000000
banjoBroken16-001008_0288_1-2.wav,down2,synth,1.000000,synth,1.000000,piano,0.000000,guitar,0.000000
banjoBroken16-001008_0288_1-2.wav,up2,winds_brass,0.774087,winds_brass,0.774087,strings,0.224508,cymbals,0.001296
banjoBroken17-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,winds_brass,0.000000,strings,0.000000
banjoBroken17-001008_0288_1-2.wav,down2,synth,1.000000,synth,1.000000,piano,0.000000,voice,0.000000
banjoBroken17-001008_0288_1-2.wav,up2,strings,1.000000,strings,1.000000,winds_brass,0.000000,piano,0.000000
banjoBroken18Loop-001008_0288_1-2.wav,orig,piano,0.999995,piano,0.999995,winds_brass,0.000005,strings,0.000000
banjoBroken18Loop-001008_0288_1-2.wav,down2,synth,1.000000,synth,1.000000,piano,0.000000,guitar,0.000000
banjoBroken18Loop-001008_0288_1-2.wav,up2,strings,1.000000,strings,1.000000,winds_brass,0.000000,piano,0.000000
banjoBroken19-001008_0288_1-2.wav,orig,piano,0.997724,piano,0.997724,bass,0.002114,winds_brass,0.000162
banjoBroken19-001008_0288_1-2.wav,down2,synth,1.000000,synth,1.000000,bass,0.000000,piano,0.000000
banjoBroken19-001008_0288_1-2.wav,up2,winds_brass,0.998227,winds_brass,0.998227,strings,0.001773,guitar,0.000000
banjoBroken2-001008_0288_1-2.wav,orig,synth,0.999058,synth,0.999058,piano,0.000941,winds_brass,0.000001
banjoBroken2-001008_0288_1-2.wav,down2,synth,1.000000,synth,1.000000,toms,0.000000,piano,0.000000
banjoBroken2-001008_0288_1-2.wav,up2,strings,0.983274,strings,0.983274,synth,0.014607,piano,0.002107
banjoBroken3Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,winds_brass,0.000000,guitar,0.000000
banjoBroken3Loop-001008_0288_1-2.wav,down2,synth,0.995798,synth,0.995798,piano,0.004195,bass,0.000007
banjoBroken3Loop-001008_0288_1-2.wav,up2,strings,1.000000,strings,1.000000,piano,0.000000,winds_brass,0.000000
banjoBroken4Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,winds_brass,0.000000,bass,0.000000
banjoBroken4Loop-001008_0288_1-2.wav,down2,synth,0.999257,synth,0.999257,piano,0.000743,guitar,0.000000
banjoBroken4Loop-001008_0288_1-2.wav,up2,strings,0.999995,strings,0.999995,piano,0.000005,winds_brass,0.000000
banjoBroken5-001008_0288_1-2.wav,orig,piano,0.897522,piano,0.897522,synth,0.052563,toms,0.049915
