file,variant,primary_label,primary_conf,top1,p1,top2,p2,top3,p3
addison1-001002_0165_1-2.wav,orig,winds_brass,1.000000,winds_brass,1.000000,voice,0.000000,piano,0.000000
addison1-001002_0165_1-2.wav,down2,piano,0.998770,piano,0.998770,synth,0.001230,guitar,0.000000
addison1-001002_0165_1-2.wav,up2,guitar,0.995387,guitar,0.995387,toms,0.002844,piano,0.001768
addison2-001002_0165_1-2.wav,orig,winds_brass,1.000000,winds_brass,1.000000,voice,0.000000,guitar,0.000000
addison2-001002_0165_1-2.wav,down2,piano,0.999844,piano,0.999844,synth,0.000156,guitar,0.000001
addison2-001002_0165_1-2.wav,up2,guitar,1.000000,guitar,1.000000,bass,0.000000,strings,0.000000
ambienceHoneyBee-001004_0206_1-2.wav,orig,winds_brass,0.980326,winds_brass,0.980326,piano,0.019673,strings,0.000000
ambienceHoneyBee-001004_0206_1-2.wav,down2,synth,0.490440,synth,0.490440,guitar,0.287167,piano,0.222393
ambienceHoneyBee-001004_0206_1-2.wav,up2,guitar,0.999861,guitar,0.999861,strings,0.000139,piano,0.000000
ambulance1-001010_0293_1-2.wav,orig,winds_brass,1.000000,winds_brass,1.000000,piano,0.000000,synth,0.000000
ambulance1-001010_0293_1-2.wav,down2,piano,1.000000,piano,1.000000,synth,0.000000,bass,0.000000
ambulance1-001010_0293_1-2.wav,up2,voice,0.999971,voice,0.999971,strings,0.000023,winds_brass,0.000006
banjoBroken1-001008_0288_1-2.wav,orig,winds_brass,0.999564,winds_brass,0.999564,piano,0.000436,synth,0.000000
banjoBroken1-001008_0288_1-2.wav,down2,synth,1.000000,synth,1.000000,piano,0.000000,bass,0.000000
banjoBroken1-001008_0288_1-2.wav,up2,synth,0.974642,synth,0.974642,piano,0.021247,toms,0.004112
banjoBroken10Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,strings,0.000000,winds_brass,0.000000
banjoBroken10Loop-001008_0288_1-2.wav,down2,synth,0.984235,synth,0.984235,piano,0.015765,guitar,0.000000
banjoBroken10Loop-001008_0288_1-2.wav,up2,toms,0.999996,toms,0.999996,synth,0.000003,cymbals,0.000001
banjoBroken11Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,synth,0.000000,strings,0.000000
banjoBroken11Loop-001008_0288_1-2.wav,down2,piano,0.743551,piano,0.743551,synth,0.256449,guitar,0.000000
banjoBroken11Loop-001008_0288_1-2.wav,up2,toms,0.956741,toms,0.956741,hihat,0.042893,synth,0.000363
banjoBroken12Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,synth,0.000000,winds_brass,0.000000
banjoBroken12Loop-001008_0288_1-2.wav,down2,synth,0.999955,synth,0.999955,piano,0.000045,guitar,0.000000
banjoBroken12Loop-001008_0288_1-2.wav,up2,toms,0.999974,toms,0.999974,winds_brass,0.000022,cymbals,0.000002
banjoBroken13Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,synth,0.000000,winds_brass,0.000000
banjoBroken13Loop-001008_0288_1-2.wav,down2,piano,0.624579,piano,0.624579,synth,0.375321,guitar,0.000100
banjoBroken13Loop-001008_0288_1-2.wav,up2,toms,0.864799,toms,0.864799,hihat,0.135180,synth,0.000021
banjoBroken14Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,synth,0.000000,strings,0.000000
banjoBroken14Loop-001008_0288_1-2.wav,down2,piano,0.929576,piano,0.929576,synth,0.070424,bass,0.000000
banjoBroken14Loop-001008_0288_1-2.wav,up2,toms,0.985955,toms,0.985955,synth,0.009512,cymbals,0.004532
banjoBroken15Loop-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,synth,0.000000,strings,0.000000
banjoBroken15Loop-001008_0288_1-2.wav,down2,piano,0.999100,piano,0.999100,synth,0.000900,bass,0.000000
banjoBroken15Loop-001008_0288_1-2.wav,up2,toms,0.998245,toms,0.998245,synth,0.001531,cymbals,0.000182
banjoBroken16-001008_0288_1-2.wav,orig,piano,0.997422,piano,0.997422,winds_brass,0.002578,strings,0.000000
banjoBroken16-001008_0288_1-2.wav,down2,synth,1.000000,synth,1.000000,piano,0.000000,guitar,0.000000
banjoBroken16-001008_0288_1-2.wav,up2,winds_brass,0.903504,winds_brass,0.903504,toms,0.095115,piano,0.001035
banjoBroken17-001008_0288_1-2.wav,orig,piano,1.000000,piano,1.000000,winds_brass,0.000000,strings,0.000000
banjoBroken17-001008_0288_1-2.wav,down2,synth,0.999863,synth,0.999863,piano,0.000137,bass,0.000000
banjoBroken17-001008_0288_1-2.wav,up2,toms,0.985358,toms,0.985358,synth,0.011722,winds_brass,0.002919
banjoBroken18Loop-001008_0288_1-2.wav,orig,piano,0.999995,piano,0.999995,winds_brass,0.000005,strings,0.000000
banjoBroken18Loop-001008_0288_1-2.wav,down2,synth,0.980967,synth,0.980967,piano,0.019033,bass,0.000000
banjoBroken18Loop-001008_0288_1-2.wav,up2,winds_brass,0.908977,winds_brass,0.908977,toms,0.081694,synth,0.007854
banjoBroken19-001008_0288_1-2.wav,orig,piano,0.997724,piano,0.997724,bass,0.002114,winds_brass,0.000162
banjoBroken19-001008_0288_1-2.wav,down2,synth,1.000000,synth,1.000000,piano,0.000000,guitar,0.000000
banjoBroken19-001008_0288_1-2.wav,up2,toms,0.999057,toms,0.999057,synth,0.000607,winds_brass,0.000302
